yyyy/MM/dd,Avg(กษ)
1973-03-01,5.1
1974-03-01,4.2
1975-03-01,4.9
1976-03-01,5.3
1977-03-01,5.7
1978-03-01,5
1979-03-01,6.2
1980-03-01,5.5
1981-03-01,6
1982-03-01,6.3
1983-03-01,5.9
1984-03-01,3.4
1985-03-01,5.1
1986-03-01,5.1
1987-03-01,5
1988-03-01,4.4
1989-03-01,6
1990-03-01,7.2
1991-03-01,5.3
1992-03-01,6.9
1993-03-01,5.3
1994-03-01,4.3
1995-03-01,5.9
1996-03-01,4.7
1997-03-01,6.8
1998-03-01,7.4
1999-03-01,6.5
2000-03-01,6.2
2001-03-01,5.6
2002-03-01,7.9
2003-03-01,6
2004-03-01,6.5
2005-03-01,4.8
2006-03-01,5.9
2007-03-01,6.8
2008-03-01,7
2009-03-01,6.9
2010-03-01,5.5
2011-03-01,4.6
2012-03-01,5.7
2013-03-01,6.6
2014-03-01,7.7
2015-03-01,6.7
2016-03-01,7.2
2017-03-01,6.3
2018-03-01,8.1
2019-03-01,7.5
2020-03-01,7.9
,
