year,CO2,CFC11,CFC12,CH4
1999,371.2,267.8,536,186.1
2000,373.3,266.8,539,185.8
2001,375.6,264.9,539.9,185.1
2002,377.6,264,543,186.2
2003,379.9,259.1,539.6,187.4
2004,382.1,259.3,538,187.2
2005,384.3,264.7,540.6,185.5
2006,386.5,251.8,530,186.6
2007,388.6,230.9,535.2,189
2008,390.7,237.3,522.2,188.9
2009,392.6,246.9,527.7,190
2010,394.9,230.8,525.9,190.1
2011,396.8,242.8,506.8,190.7
2012,399.9,214.9,509.9,191.9
2013,402.4,218.8,516.2,193.1
2014,404.6,235.5,521.1,194.1
2015,407,233.6,520.7,195.2
2016,409.9,239.4,529.8,196.5
2017,412.2,230.9,510.2,197
2018,415.2,228.3,502.7,197.4
