year,temperature
5/7/1954,11.4
5/8/1955,11.5
5/9/1956,10.1
5/10/1957,10.4
5/11/1958,11.6
5/12/1959,12
5/13/1960,12.1
5/14/1961,12.4
5/15/1962,11.7
5/16/1963,11.3
5/17/1964,12.2
5/18/1965,11.4
5/19/1966,11.5
5/20/1967,11.6
5/21/1968,11.8
5/22/1969,10.9
5/23/1970,11.4
5/24/1971,11.5
5/25/1972,11.9
5/26/1973,12
5/27/1974,11.1
5/28/1975,12.5
5/29/1976,11.5
5/30/1977,12.3
5/31/1978,12.4
6/1/1979,12.5
6/2/1980,10.8
6/3/1981,11.2
6/4/1982,12.5
6/5/1983,12.4
6/6/1984,11.6
6/7/1985,11.6
6/8/1986,11.2
6/9/1987,11.9
6/10/1988,12.1
6/11/1989,13
6/12/1990,12.8
6/13/1991,12.3
6/14/1992,12.5
6/15/1993,12
6/16/1994,13.5
6/17/1995,12.2
6/18/1996,12.2
6/19/1997,12.9
6/20/1998,13.8
6/21/1999,13.2
6/22/2000,12.7
6/23/2001,12.8
6/24/2002,12.9
6/25/2003,12.8
6/26/2004,13.3
6/27/2005,12.1
6/28/2006,13
6/29/2007,13.3
6/30/2008,12.9
7/1/2009,12.9
7/2/2010,12.1
7/3/2011,12
7/4/2012,12.2
7/5/2013,12.5
7/6/2014,13.4
7/7/2015,13.6
7/8/2016,13.6
7/9/2017,13
7/10/2018,12.9
7/11/2019,13.5
7/12/2020,13.2
